,person.type,person.value,personLabel.xml:lang,personLabel.type,personLabel.value
326,uri,http://www.wikidata.org/entity/Q7152166,en,literal,Paul Mahoney
327,uri,http://www.wikidata.org/entity/Q7152688,en,literal,Paul Neebe
328,uri,http://www.wikidata.org/entity/Q7153052,en,literal,Paul R. Gross
329,uri,http://www.wikidata.org/entity/Q7176206,en,literal,Peter Ochs
330,uri,http://www.wikidata.org/entity/Q7183255,en,literal,Philip Bourne
331,uri,http://www.wikidata.org/entity/Q7273968,en,literal,R. S. Khare
332,uri,http://www.wikidata.org/entity/Q7291594,en,literal,Randall Ray Rader
333,uri,http://www.wikidata.org/entity/Q6834055,en,literal,Michael Ryan
334,uri,http://www.wikidata.org/entity/Q6891197,en,literal,Mohamed Gad-el-Hak
335,uri,http://www.wikidata.org/entity/Q6969005,en,literal,Nathan Currier
336,uri,http://www.wikidata.org/entity/Q7141816,en,literal,Pasco Bowman II
337,uri,http://www.wikidata.org/entity/Q7151427,en,literal,Paul Humphreys
338,uri,http://www.wikidata.org/entity/Q42545658,en,literal,Kyle L. Hoehn
339,uri,http://www.wikidata.org/entity/Q42551148,en,literal,Ivan Rubio-Gayosso
340,uri,http://www.wikidata.org/entity/Q42637362,en,literal,Ku-lung Hsu
341,uri,http://www.wikidata.org/entity/Q42639184,en,literal,Sibylle Kranz
342,uri,http://www.wikidata.org/entity/Q42711889,en,literal,Zhiyi Zuo
343,uri,http://www.wikidata.org/entity/Q42753888,en,literal,Meera Murgai
344,uri,http://www.wikidata.org/entity/Q42764955,en,literal,Cristóbal Pérez
345,uri,http://www.wikidata.org/entity/Q42766964,en,literal,Stavroula Mili
346,uri,http://www.wikidata.org/entity/Q42774790,en,literal,Roy Kanbar
347,uri,http://www.wikidata.org/entity/Q42787744,en,literal,Joan M. Taylor
